behavior,gamma,seed,coverage_bin,coverage_adequate,right_reward_events_per_10000,g_plus_events_per_10000,target_mean_abs_error,target_mean_mc_tolerance,target_mean_within_mc_tolerance,soft_mean_bellman_residual,sampled_mean_bellman_residual,soft_mean_value_error,sampled_mean_value_error,soft_greedy_raw_return,sampled_greedy_raw_return
mild_right_bias,0.99,6,borderline,False,63.733333333333334,0.9333333333333333,1.0696538408044853e-05,0.0002977546275145315,True,0.0009103933865067018,0.00212867834801402,0.18786337553624757,0.15473661290971022,80.38,79.28
mild_right_bias,0.99,7,borderline,False,69.53333333333333,1.4666666666666666,0.00011236972143072177,0.00037742535585263764,True,0.0013658129480187409,0.005365421008352374,0.17268469418646634,0.05237346455225301,79.28,2.000000000000001
mild_right_bias,0.99,8,borderline,False,59.46666666666667,0.7333333333333333,1.2179799467645913e-05,0.00019233845333685185,True,0.0015471857992099085,0.007666752710838424,0.19999487645771277,0.22127832699448202,80.63,2.000000000000001
mild_right_bias,0.99,9,borderline,False,65.0,1.0,2.0417000217071157e-05,0.0003087258934221978,True,0.0014234206867333524,0.004247843271325782,0.17788889507570202,0.09660733623902958,81.03,2.000000000000001
mild_right_bias,0.995,0,borderline,False,61.333333333333336,0.6,7.132410823673663e-06,0.00018871973445751781,True,0.0007115483650821213,0.002623822885210491,0.287464853744967,0.19388828233869762,78.93,2.000000000000001
mild_right_bias,0.995,1,borderline,False,58.733333333333334,0.33333333333333337,2.019685489615397e-06,0.0001204829650342818,True,0.0008143927978759234,0.0059892623438626835,0.2891218177700045,0.2687467948041124,80.96,2.000000000000001
mild_right_bias,0.995,2,borderline,False,69.33333333333333,0.4,1.0253674502941346e-05,0.00012102639821232884,True,0.0009661996856550314,0.0030162297768516776,0.27033977529393505,0.2934113791841358,79.85,79.92
mild_right_bias,0.995,3,borderline,False,66.0,0.33333333333333337,3.746413397180681e-05,0.00015218232074541298,True,0.0005334239000739371,0.000996547326828412,0.27358559143894096,0.28055070145522026,80.41,2.000000000000001
mild_right_bias,0.995,4,borderline,False,61.86666666666667,0.2,3.027524521574676e-05,0.00010870907131060008,True,0.0010025562569301362,0.001189699613966786,0.2879946697150223,0.314493701238634,79.67,0.0
mild_right_bias,0.995,5,borderline,False,61.06666666666666,0.26666666666666666,3.791100966445138e-05,0.000139824203910088,True,0.0007314794180774536,0.0017006837148248882,0.2831810915212777,0.27486550338092225,79.37,2.000000000000001
mild_right_bias,0.995,6,borderline,False,60.666666666666664,0.6,4.377709096874127e-05,0.00015167975634505163,True,0.0006867005198818327,0.004144302980612781,0.28550754288265345,0.17364352995588858,80.38,2.000000000000001
mild_right_bias,0.995,7,borderline,False,60.46666666666666,0.5333333333333333,3.7744683523688316e-06,0.00017048828531252488,True,0.0009324418374532147,0.0014825193738625235,0.2860890553207616,0.16889808363049932,79.28,2.000000000000001
mild_right_bias,0.995,8,borderline,False,67.33333333333333,0.4666666666666667,3.7238680858225903e-06,0.00017004365824212133,True,0.0008781664104951884,0.002722799023718775,0.27306203195907836,0.18589630227379084,80.63,0.0
mild_right_bias,0.995,9,borderline,False,69.4,0.2,2.767804940390084e-05,0.00011435693714011203,True,0.0008009119177918392,0.0009771107866855047,0.272848015737853,0.30959785830497394,81.03,2.000000000000001
medium_right_bias,0.95,0,borderline,False,275.93333333333334,15.0,0.00027520985746282145,0.001054796001384645,True,0.003463269189710204,0.00657122579391028,0.012973721684065445,0.018722091742607822,78.93,79.03
medium_right_bias,0.95,1,borderline,False,291.2,15.066666666666666,0.00013390231994203639,0.0009792366748562647,True,0.0037619974816744304,0.01146099044976493,0.0046339471007146235,0.019664951650872748,80.96,81.16
medium_right_bias,0.95,2,borderline,False,283.46666666666664,13.666666666666666,5.1851666058810864e-05,0.0009925514267309285,True,0.0047917830879440045,0.02075598023756511,0.030943892108438703,0.05986310948127236,79.85,79.92
medium_right_bias,0.95,3,borderline,False,289.93333333333334,13.933333333333332,0.00024143564178336074,0.000994942304140006,True,0.002362751083373029,0.009912160236303822,0.003920119456556702,0.04825314439864348,80.41,78.7
medium_right_bias,0.95,4,borderline,False,286.6666666666667,14.6,0.000115163060770751,0.0009674731023485519,True,0.0035055039202959784,0.010731916416845908,0.01828312520166327,0.023817185115950892,79.67,80.4
medium_right_bias,0.95,5,borderline,False,283.66666666666663,12.533333333333333,0.0002704542384119879,0.0009132817980300346,True,0.0028972828670163673,0.009707908683480865,0.008232959724295283,0.02703767377755831,79.37,0.0
medium_right_bias,0.95,6,borderline,False,299.8,14.0,0.00017948155897373752,0.0009900862815717306,True,0.002125494473749825,0.008551931679636164,0.010488399096307175,0.02632948848308445,80.38,2.000000000000001
medium_right_bias,0.95,7,borderline,False,287.40000000000003,14.666666666666666,5.706876455680021e-06,0.0009854347246367747,True,0.0039889942148091774,0.009151398149511774,0.007104780295507457,0.01484276886875549,79.28,81.54
medium_right_bias,0.95,8,borderline,False,280.0,16.066666666666666,9.0530975914771e-05,0.0010690345328061791,True,0.00251166602426117,0.010547773253913201,0.012649047127656736,0.0822511445612119,80.63,2.000000000000001
medium_right_bias,0.95,9,borderline,False,281.3333333333333,14.200000000000001,6.788757182141225e-05,0.001002195841642529,True,0.00407231359229232,0.015907324292007793,0.004638071822346923,0.07484302726888653,81.03,81.65
medium_right_bias,0.99,0,borderline,False,283.73333333333335,2.7333333333333334,2.7316141544553307e-05,0.0005316302209908956,True,0.0013564057525012978,0.005844918735854072,0.006451196633332934,0.014508755741743184,78.93,79.03
medium_right_bias,0.99,1,borderline,False,290.2,2.8666666666666667,8.029709958018438e-05,0.0005189559817810115,True,0.0006135119469490349,0.004516483682585147,0.006236298649290918,0.07513204602254314,80.96,2.000000000000001
medium_right_bias,0.99,2,borderline,False,277.2,2.5999999999999996,0.0001281053161198975,0.0005110944670823885,True,0.001232922909137818,0.0047598914017207465,0.01938470328376588,0.023478103409882645,79.85,79.92
medium_right_bias,0.99,3,adequate,True,303.0,3.2666666666666666,4.162208382024746e-05,0.000584745427729865,True,0.0007075862262324826,0.011144022681675312,0.007874634823595067,0.05665774201299312,80.41,2.000000000000001
medium_right_bias,0.99,4,borderline,False,292.2,3.066666666666667,0.00010812854592945342,0.0005795665858570103,True,0.0005542460464845606,0.004637921442862213,0.0009449526705215816,0.06343235351624754,79.67,2.000000000000001
medium_right_bias,0.99,5,borderline,False,282.40000000000003,2.666666666666667,2.9905000831192963e-05,0.000470050344005759,True,0.0011154489916182138,0.0043591061160958245,0.012199692657051425,0.06320263813181416,79.37,79.65
