gamma,seed,transition,g_plus_events_per_10000,target_mean_abs_error,target_mean_mc_tolerance,sampled_target_population_variance,mean_conditional_sampling_variance,soft_mean_value_error_sufficient,sampled_mean_value_error_sufficient,soft_mean_bellman_residual_sufficient,sampled_mean_bellman_residual_sufficient
0.99,5,100000,91.9,5.720249215779294e-05,0.00037848233385549167,0.006203977587838111,0.00039791354733527726,0.11424542386342734,0.11340362649566486,0.055618819898075426,0.06128492678276595
0.99,5,200000,96.95,3.082987729563502e-05,0.00021860910937242023,0.0034099472324901244,0.00026549968167001545,0.09518685783886963,0.09596424791249823,0.053066042993216676,0.05655303247648213
0.99,6,1000,60.0,0.001985963147882186,0.013554306119271371,0.05181542155013634,0.00510331151041437,0.7784766389102868,0.7232177795140934,0.10275454511089147,0.12091390996980342
0.99,6,5000,78.0,0.0007220015937725588,0.003501504962696093,0.08188817956401949,0.0017028523616368567,0.3955039469596226,0.3832851679939897,0.24066790894451368,0.23845997683007983
0.99,6,10000,94.0,0.0003152788526318284,0.0020899697714745463,0.0525369754987564,0.0012133260126881572,0.24998063461778564,0.24353672977604124,0.17304215783725824,0.17081590366407767
0.99,6,25000,91.6,0.00013892161041439977,0.0010980273439993868,0.02428720138203682,0.0008372667001182969,0.08757289326805623,0.08561288403612395,0.07088673760242425,0.0706848956095968
0.99,6,50000,96.39999999999999,5.547675067441027e-05,0.0006590231513097855,0.01673861684907167,0.0006032104360587227,0.20622498784504403,0.1986899727712846,0.052199563996031324,0.057275581083536926
0.99,6,100000,95.60000000000001,4.4214400995779e-05,0.0003870463595641435,0.008887647062904727,0.0004161246790329341,0.16707929734248228,0.16240228550629748,0.0657127179418841,0.07035609043542795
0.99,6,200000,96.10000000000001,1.5316546920107754e-05,0.00021701297441125968,0.004819471064753404,0.0002616368392379002,0.14950804503554682,0.1426364071826006,0.03201832767468497,0.035299582764152015
0.99,7,1000,100.0,0.0005349525915784303,0.00979393482672116,0.04964671226326126,0.0026644766497239346,0.4376458630837404,0.3610301403253746,0.13201270349952712,0.1433694633346423
0.99,7,5000,100.0,5.709439790146931e-05,0.0029943027412587626,0.046880093106657236,0.0012452567925430192,0.28425860618612875,0.2652568508557372,0.1642995721549338,0.16483298625226372
0.99,7,10000,102.00000000000001,0.00039709591483372275,0.0019556351736095936,0.027907988723759068,0.0010623635922941738,0.20603945217188488,0.19761572481390896,0.15345059908226472,0.15147615409938897
0.99,7,25000,100.0,0.00019798819590099992,0.0010870369487420675,0.012779898920892062,0.0008205898110628224,0.08887335066847166,0.0892790705652954,0.06668906666095234,0.06597991610237969
0.99,7,50000,97.4,0.0001181265437690815,0.000668586908326009,0.007292091477736744,0.000620845074979071,0.03429585627246585,0.039128849198839216,0.026408452858182378,0.03543420943930602
0.99,7,100000,97.30000000000001,0.0001427773175531888,0.00039747280837489,0.004666266706221861,0.0004388462038817279,0.1409763767056909,0.13704384566499994,0.06697663612946951,0.06825850559648043
0.99,7,200000,95.5,9.062568370199475e-05,0.00022237242077223775,0.0024969679667059394,0.00027471940844502865,0.057370626202318774,0.06054587933929417,0.053687493165054466,0.05516735050557067
0.99,8,1000,120.0,0.001869282751559176,0.014532038788199728,0.04579554504798021,0.005866115315048372,0.7785916718211554,0.6854855331041737,0.0832184790755017,0.11467040878170372
0.99,8,5000,102.00000000000001,0.0007929734389623411,0.0033434850784658187,0.0767027841708123,0.0015526239541560534,0.28654642650145673,0.24150481127109388,0.182160660564794,0.16981954277693248
0.99,8,10000,102.00000000000001,0.0004817968141571649,0.001687348281425777,0.057416802166649746,0.0007908733952307011,0.12783356552486017,0.11165730743398788,0.11142667199489188,0.10043299511751713
0.99,8,25000,97.19999999999999,0.0001914250934778039,0.0006898814213937163,0.028756170183858225,0.00033051137193348224,0.0675010760212709,0.06367760882002656,0.04471288097836026,0.04079131717850426
