gamma,seed,transition,g_plus_events_per_10000,target_mean_abs_error,target_mean_mc_tolerance,sampled_target_variance,mean_conditional_sampling_variance,soft_mean_bellman_residual,sampled_mean_bellman_residual,soft_mean_value_error,sampled_mean_value_error
0.99,0,5000,26.0,9.067227508752218e-05,0.0044002667915090145,0.002994941453970856,0.002689214977285699,2.1336393444861454e-10,0.002135228622777807,2.1336394543519654e-10,0.01847887612858359
0.99,0,10000,27.0,1.0323036419040976e-05,0.0031192651188273507,0.0031093012253421404,0.002702726355981391,2.1105802291051152e-17,0.002111402628540183,3.209238430557093e-17,0.023207971401821754
0.99,0,25000,22.8,0.00048713573727348844,0.0019884374503484114,0.0027939496634697067,0.0027457524263528404,6.649773324577761e-18,0.0019283897464888974,1.7636355339097538e-17,0.02488249807467739
0.99,0,50000,27.599999999999998,6.27318814450939e-05,0.001424380432848258,0.003334012475226291,0.00281786057983471,6.649773324577761e-18,0.0020567977681770623,1.7636355339097538e-17,0.03397924377118282
0.99,0,100000,30.400000000000002,4.98831585023507e-05,0.0010318654773523476,0.003717494096139128,0.002957628787087745,6.649773324577761e-18,0.002458280758792342,1.7636355339097538e-17,0.02757113114989786
0.99,1,500,20.0,0.0007525397670528648,0.013979729106316969,0.002114812674740428,0.002714344803972303,0.0007389291504970613,0.0017274993297386832,0.0007390292428929172,0.004708058534121164
0.99,1,1000,30.0,0.00020920194649698583,0.009869563772200812,0.0031571490207546243,0.002705785807042742,0.00012025277149376103,0.0018467716106461722,0.00012025277155511532,0.008046618585305913
0.99,1,2500,32.0,0.0004620836457001169,0.0062466710697830045,0.0034632697057882965,0.0027097846843099965,1.5697809326141686e-06,0.002042898861691358,1.569780932625155e-06,0.01506878620129501
0.99,1,5000,38.0,0.0011108434683539843,0.004388366235962709,0.004136019371508254,0.002674688641796876,2.921157135626906e-10,0.014800844546276962,2.9211572454927265e-10,0.030337009107369858
0.99,1,10000,28.999999999999996,0.00017219260970826114,0.0031323386659330515,0.0033207972306595196,0.0027254293105831258,2.356332721535163e-16,0.003038168316125826,2.4661985416803606e-16,0.02199100210944105
0.99,1,25000,28.8,0.00010806885574362463,0.001993895521361123,0.0033696286068345084,0.0027608467709055173,6.649773324577761e-18,0.0022006384462293703,1.7636355339097538e-17,0.022074270661063253
0.99,1,50000,30.400000000000002,0.00017503155123251013,0.0014261238773697073,0.0035348812119074193,0.002824762935561122,6.649773324577761e-18,0.0019002652547222823,1.7636355339097538e-17,0.02551217388074097
0.99,1,100000,30.799999999999997,8.322683621119278e-05,0.0010327597489986392,0.0036512666104487955,0.0029627574976437004,6.649773324577761e-18,0.0024015389466163226,1.7636355339097538e-17,0.022796566163893302
0.99,2,500,20.0,0.000786895902085397,0.01408287176882322,0.0021506465067186492,0.0027545455174599726,0.000636064349464878,0.0021208598966276425,0.0006361212835556156,0.004689529368695854
0.99,2,1000,10.0,0.0017300174758357548,0.009884762024111165,0.0011003194794276898,0.002714125563147507,0.0001032340229729769,0.0017534927742781541,0.00010323402303670573,0.005373406605039665
0.99,2,2500,32.0,0.000513508202271605,0.006219380400975541,0.0034623353364757635,0.002686159206391575,4.4081844983798424e-07,0.021421615740723456,4.408184498489708e-07,0.02827552316615836
0.99,2,5000,28.0,0.0001985698211506605,0.004372817516522872,0.0031016848275637666,0.0026557684767790635,1.1262654582104107e-11,0.00438554565826172,1.1262665568686122e-11,0.02031779921145248
0.99,2,10000,28.999999999999996,0.00021408197792158537,0.0031153384526096863,0.003259036258070757,0.0026959260206412547,6.649773324577761e-18,0.002879671918555386,1.7636355339097538e-17,0.019148869563466415
0.99,2,25000,32.8,0.00047544037924558344,0.0019946505703636415,0.0038341865784564983,0.0027629381235083337,6.649773324577761e-18,0.0029276643471762708,1.7636355339097538e-17,0.028061336202101078
0.99,2,50000,34.0,0.0005721638457532492,0.0014233087471091828,0.00406109688692974,0.002813621929996544,6.649773324577761e-18,0.0019550735591455787,1.7636355339097538e-17,0.028635635077389896
0.99,2,100000,31.7,0.00018916653943062967,0.0010318374759701594,0.00381363945193287,0.0029574682689346367,6.649773324577761e-18,0.0019924999503593446,1.7636355339097538e-17,0.024084016818922496
0.99,3,500,0.0,0.002840000000000004,0.014227972448666058,0.0,0.0028116000000000052,0.0010344091513293172,0.001666666666666668,0.0010344652822728536,0.008184496666666674
0.99,3,1000,30.0,0.00015989194544548287,0.010171477560228119,0.0031864549525946174,0.002873859882172893,0.00042116350571506315,0.0027478264849336424,0.00042116350573940885,0.005289837260547042
0.99,3,2500,36.0,0.0007116145370781937,0.006320021986884442,0.0038854768818358445,0.0027737970774099146,1.125372245061711e-06,0.0021987653729005244,1.1253722450726977e-06,0.0163147391179469
0.99,3,5000,44.0,0.001642364271479839,0.004410985727761877,0.005049031299134176,0.00270233265146097,5.188832957053746e-11,0.019600465178074223,5.1888340557119474e-11,0.04790344680263878
0.99,3,10000,34.0,0.0006896666033488902,0.003119047950362676,0.004147581824539061,0.002702350032406003,8.0953762212251e-18,0.015545904529067149,1.9081958235744878e-17,0.039285581429349244
0.99,3,25000,32.0,0.00040660490902014873,0.001991581291771523,0.003888785122673887,0.002754441695648839,6.649773324577761e-18,0.0021667554098147375,1.7636355339097538e-17,0.02685574624921308
0.99,3,50000,32.4,0.00037296311319019726,0.0014241157850461653,0.00396330024736701,0.0028168135683578547,6.649773324577761e-18,0.0026158156203507344,1.7636355339097538e-17,0.028061481760601328
0.99,3,100000,32.5,0.0002561391275655821,0.0010318517606066292,0.0039473675752894075,0.0029575501551861124,6.649773324577761e-18,0.002379577233769741,1.7636355339097538e-17,0.02634650772480271
0.99,4,500,40.0,0.0013636417147417906,0.013989455536619216,0.004327789823375063,0.0027181231418200846,0.0009318339883983176,0.0025102494000826905,0.0009318957212705548,0.0059684730320825495
0.99,4,1000,40.0,0.0012576020603355612,0.00994502626691308,0.004239290087710177,0.002747320762488641,0.00014570986032617512,0.002221520059801628,0.00014570986038372658,0.009418880218277066
0.99,4,2500,40.0,0.0012074022224573128,0.006279422665005395,0.004221558194799404,0.0027382742365127397,6.626480728528483e-07,0.0019627195007774394,6.626480728638348e-07,0.014896584349272738
0.99,4,5000,34.0,0.0006294858678776334,0.004420050885832851,0.003679221102042169,0.0027134513657433,1.2213360415606425e-10,0.002045193537717036,1.2213361514264628e-10,0.019296667337420366
0.99,4,10000,36.0,0.0008109434075256328,0.0031209007321553843,0.003899733184154818,0.00270556149443556,7.517135062566164e-18,0.014806154370471314,1.850371707708594e-17,0.029620379149845156
0.99,4,25000,35.2,0.0007493511213110468,0.001990300661602807,0.004149660839631876,0.0027509005024837292,6.649773324577761e-18,0.002380026583675828,1.7636355339097538e-17,0.02997433176797193
0.99,4,50000,35.0,0.0006439945792072639,0.0014256768303937707,0.004210142516148918,0.0028229922565578174,6.649773324577761e-18,0.003962450750484278,1.7636355339097538e-17,0.03370452289858215
0.99,4,100000,33.9,0.0003956973444908876,0.001033486981950011,0.004237109647752925,0.002966931505167062,6.649773324577761e-18,0.002996292921707576,1.7636355339097538e-17,0.03027778838092399
0.99,5,500,40.0,0.00116186270268483,0.01357320466967306,0.004155853666500023,0.0025587761806227026,0.0005358849405719527,0.002332886982994156,0.0005360484024952437,0.008167565920428152
0.99,5,1000,30.0,0.00013431054951257293,0.009779841512538419,0.0031505718355174426,0.002656813889176937,8.694867098811045e-05,0.009470449162791439,8.694867111994711e-05,0.016875477655136615
0.99,5,2500,36.0,0.0008827816603151038,0.0061263372816494945,0.003978282759640431,0.002606389478370036,2.680442342658726e-07,0.002376381206727867,2.680442342768592e-07,0.022238088492452398
0.99,5,5000,30.0,0.00029885950999322675,0.004377129872510942,0.0034389800981961373,0.002661009155670508,2.8594221897678313e-11,0.0019107589829779426,2.859423288426033e-11,0.02284003984135684
